level,name,year,tenure,hhlds,value,change_from_prev_data_year
3_towns,Branford,2000,owner,p1,2244,2119
3_towns,Bridgeport,2000,owner,p1,5644,3068
3_towns,Bridgewater,2000,owner,p1,119,-5040
3_towns,Bristol,2000,owner,p1,2978,2851
3_towns,Brookfield,2000,owner,p1,738,-3125
3_towns,Brooklyn,2000,owner,p1,272,-534
3_towns,Burlington,2000,owner,p1,280,-79
3_towns,Canaan,2000,owner,p1,87,-356
3_towns,Canterbury,2000,owner,p1,191,63
3_towns,Canton,2000,owner,p1,528,334
3_towns,Chaplin,2000,owner,p1,113,-526
3_towns,Cheshire,2000,owner,p1,1193,1006
3_towns,Chester,2000,owner,p1,228,-1374
3_towns,Clinton,2000,owner,p1,805,544
3_towns,Colchester,2000,owner,p1,513,-443
3_towns,Colebrook,2000,owner,p1,85,-762
3_towns,Columbia,2000,owner,p1,268,141
3_towns,Cornwall,2000,owner,p1,134,-67
3_towns,Coventry,2000,owner,p1,564,450
3_towns,Cromwell,2000,owner,p1,970,153
3_towns,Danbury,2000,owner,p1,3431,2172
3_towns,Darien,2000,owner,p1,730,-3620
3_towns,Deep River,2000,owner,p1,245,-441
3_towns,Derby,2000,owner,p1,811,549
3_towns,Durham,2000,owner,p1,254,-530
3_towns,East Granby,2000,owner,p1,248,-140
3_towns,East Haddam,2000,owner,p1,473,155
3_towns,East Hampton,2000,owner,p1,504,-119
3_towns,East Hartford,2000,owner,p1,2722,1847
3_towns,East Haven,2000,owner,p1,1754,-981
3_towns,East Lyme,2000,owner,p1,915,-1069
3_towns,East Windsor,2000,owner,p1,642,-485
3_towns,Eastford,2000,owner,p1,82,-896
3_towns,Easton,2000,owner,p1,264,182
3_towns,Ellington,2000,owner,p1,557,70
3_towns,Enfield,2000,owner,p1,2352,1177
3_towns,Essex,2000,owner,p1,569,-2429
3_towns,Fairfield,2000,owner,p1,3175,2679
3_towns,Farmington,2000,owner,p1,1476,-1709
3_towns,Franklin,2000,owner,p1,101,-1555
3_towns,Glastonbury,2000,owner,p1,1739,1622
3_towns,Goshen,2000,owner,p1,157,-1913
3_towns,Granby,2000,owner,p1,445,202
3_towns,Greenwich,2000,owner,p1,3112,2554
3_towns,Griswold,2000,owner,p1,558,-2047
3_towns,Groton,2000,owner,p1,1937,1194
3_towns,Guilford,2000,owner,p1,1157,-1187
3_towns,Haddam,2000,owner,p1,323,-1117
3_towns,Hamden,2000,owner,p1,3573,3244
3_towns,Hampton,2000,owner,p1,90,-3664
3_towns,Hartford,2000,owner,p1,2790,2626
3_towns,Hartland,2000,owner,p1,75,-2822
3_towns,Harwinton,2000,owner,p1,282,113
3_towns,Hebron,2000,owner,p1,277,75
3_towns,Kent,2000,owner,p1,191,-356
3_towns,Killingly,2000,owner,p1,779,522
3_towns,Killingworth,2000,owner,p1,329,-939
3_towns,Lebanon,2000,owner,p1,287,-46
3_towns,Ledyard,2000,owner,p1,630,261
3_towns,Lisbon,2000,owner,p1,225,-661
3_towns,Litchfield,2000,owner,p1,486,207
3_towns,Lyme,2000,owner,p1,156,-449
3_towns,Madison,2000,owner,p1,819,608
3_towns,Manchester,2000,owner,p1,3096,2120
3_towns,Mansfield,2000,owner,p1,732,-2736
3_towns,Marlborough,2000,owner,p1,186,-499
3_towns,Meriden,2000,owner,p1,3080,2835
3_towns,Middlebury,2000,owner,p1,359,-3976
3_towns,Middlefield,2000,owner,p1,251,-198
3_towns,Middletown,2000,owner,p1,2243,1851
3_towns,Milford,2000,owner,p1,3504,830
3_towns,Monroe,2000,owner,p1,802,-3383
3_towns,Montville,2000,owner,p1,854,-116
3_towns,Morris,2000,owner,p1,127,-910
