level,name,year,tenure,hhlds,value,share
3_towns,Bloomfield,2018,renter,3-person,145,0.061
3_towns,Bloomfield,2018,renter,4-person or more,353,0.149
3_towns,Bolton,2000,renter,total,277,NA
3_towns,Bolton,2000,renter,1-person,139,0.502
3_towns,Bolton,2000,renter,2-person,76,0.274
3_towns,Bolton,2000,renter,3-person,33,0.119
3_towns,Bolton,2000,renter,4-person or more,29,0.105
3_towns,Bolton,2010,renter,total,362,NA
3_towns,Bolton,2010,renter,1-person,181,0.5
3_towns,Bolton,2010,renter,2-person,73,0.202
3_towns,Bolton,2010,renter,3-person,56,0.155
3_towns,Bolton,2010,renter,4-person or more,52,0.144
3_towns,Bolton,2018,renter,total,193,NA
3_towns,Bolton,2018,renter,1-person,117,0.606
3_towns,Bolton,2018,renter,2-person,30,0.155
3_towns,Bolton,2018,renter,3-person,16,0.083
3_towns,Bolton,2018,renter,4-person or more,30,0.155
3_towns,Bozrah,2000,renter,total,158,NA
3_towns,Bozrah,2000,renter,1-person,67,0.424
3_towns,Bozrah,2000,renter,2-person,40,0.253
3_towns,Bozrah,2000,renter,3-person,23,0.146
3_towns,Bozrah,2000,renter,4-person or more,28,0.177
3_towns,Bozrah,2010,renter,total,181,NA
3_towns,Bozrah,2010,renter,1-person,82,0.453
3_towns,Bozrah,2010,renter,2-person,28,0.155
3_towns,Bozrah,2010,renter,3-person,51,0.282
3_towns,Bozrah,2010,renter,4-person or more,20,0.11
3_towns,Bozrah,2018,renter,total,138,NA
3_towns,Bozrah,2018,renter,1-person,50,0.362
3_towns,Bozrah,2018,renter,2-person,65,0.471
3_towns,Bozrah,2018,renter,3-person,10,0.072
3_towns,Bozrah,2018,renter,4-person or more,13,0.094
3_towns,Branford,2000,renter,total,3942,NA
3_towns,Branford,2000,renter,1-person,1824,0.463
3_towns,Branford,2000,renter,2-person,1180,0.299
3_towns,Branford,2000,renter,3-person,489,0.124
3_towns,Branford,2000,renter,4-person or more,449,0.114
3_towns,Branford,2010,renter,total,3419,NA
3_towns,Branford,2010,renter,1-person,1493,0.437
3_towns,Branford,2010,renter,2-person,1153,0.337
3_towns,Branford,2010,renter,3-person,396,0.116
3_towns,Branford,2010,renter,4-person or more,377,0.11
3_towns,Branford,2018,renter,total,3706,NA
3_towns,Branford,2018,renter,1-person,1686,0.455
3_towns,Branford,2018,renter,2-person,1202,0.324
3_towns,Branford,2018,renter,3-person,409,0.11
3_towns,Branford,2018,renter,4-person or more,409,0.11
3_towns,Bridgeport,2000,renter,total,28552,NA
3_towns,Bridgeport,2000,renter,1-person,8933,0.313
3_towns,Bridgeport,2000,renter,2-person,6709,0.235
3_towns,Bridgeport,2000,renter,3-person,5005,0.175
3_towns,Bridgeport,2000,renter,4-person or more,7905,0.277
3_towns,Bridgeport,2010,renter,total,28627,NA
3_towns,Bridgeport,2010,renter,1-person,9697,0.339
3_towns,Bridgeport,2010,renter,2-person,6615,0.231
3_towns,Bridgeport,2010,renter,3-person,4921,0.172
3_towns,Bridgeport,2010,renter,4-person or more,7394,0.258
3_towns,Bridgeport,2018,renter,total,29433,NA
3_towns,Bridgeport,2018,renter,1-person,9308,0.316
3_towns,Bridgeport,2018,renter,2-person,7344,0.25
3_towns,Bridgeport,2018,renter,3-person,5276,0.179
3_towns,Bridgeport,2018,renter,4-person or more,7505,0.255
3_towns,Bridgewater,2000,renter,total,70,NA
3_towns,Bridgewater,2000,renter,1-person,29,0.414
3_towns,Bridgewater,2000,renter,2-person,26,0.371
3_towns,Bridgewater,2000,renter,3-person,4,0.057
3_towns,Bridgewater,2000,renter,4-person or more,11,0.157
3_towns,Bridgewater,2010,renter,total,86,NA
3_towns,Bridgewater,2010,renter,1-person,50,0.581
3_towns,Bridgewater,2010,renter,2-person,9,0.105
3_towns,Bridgewater,2010,renter,3-person,15,0.174
3_towns,Bridgewater,2010,renter,4-person or more,12,0.14
3_towns,Bridgewater,2018,renter,total,80,NA
3_towns,Bridgewater,2018,renter,1-person,29,0.362
3_towns,Bridgewater,2018,renter,2-person,22,0.275
3_towns,Bridgewater,2018,renter,3-person,10,0.125
3_towns,Bridgewater,2018,renter,4-person or more,19,0.238
3_towns,Bristol,2000,renter,total,9476,NA
3_towns,Bristol,2000,renter,1-person,4202,0.443
3_towns,Bristol,2000,renter,2-person,2717,0.287
3_towns,Bristol,2000,renter,3-person,1299,0.137
3_towns,Bristol,2000,renter,4-person or more,1258,0.133
3_towns,Bristol,2010,renter,total,8394,NA
3_towns,Bristol,2010,renter,1-person,3750,0.447
3_towns,Bristol,2010,renter,2-person,2349,0.28
3_towns,Bristol,2010,renter,3-person,1169,0.139
3_towns,Bristol,2010,renter,4-person or more,1126,0.134
3_towns,Bristol,2018,renter,total,8835,NA
3_towns,Bristol,2018,renter,1-person,3943,0.446
3_towns,Bristol,2018,renter,2-person,2505,0.284
3_towns,Bristol,2018,renter,3-person,1251,0.142
3_towns,Bristol,2018,renter,4-person or more,1136,0.129
3_towns,Brookfield,2000,renter,total,612,NA
3_towns,Brookfield,2000,renter,1-person,223,0.364
3_towns,Brookfield,2000,renter,2-person,205,0.335
3_towns,Brookfield,2000,renter,3-person,91,0.149
3_towns,Brookfield,2000,renter,4-person or more,93,0.152
3_towns,Brookfield,2010,renter,total,678,NA
3_towns,Brookfield,2010,renter,1-person,244,0.36
3_towns,Brookfield,2010,renter,2-person,213,0.314
3_towns,Brookfield,2010,renter,3-person,142,0.209
3_towns,Brookfield,2010,renter,4-person or more,79,0.117
3_towns,Brookfield,2018,renter,total,1065,NA
3_towns,Brookfield,2018,renter,1-person,483,0.454
3_towns,Brookfield,2018,renter,2-person,184,0.173
3_towns,Brookfield,2018,renter,3-person,187,0.176
3_towns,Brookfield,2018,renter,4-person or more,211,0.198
3_towns,Brooklyn,2000,renter,total,666,NA
3_towns,Brooklyn,2000,renter,1-person,281,0.422
3_towns,Brooklyn,2000,renter,2-person,188,0.282
3_towns,Brooklyn,2000,renter,3-person,104,0.156
3_towns,Brooklyn,2000,renter,4-person or more,93,0.14
3_towns,Brooklyn,2010,renter,total,621,NA
3_towns,Brooklyn,2010,renter,1-person,248,0.399
3_towns,Brooklyn,2010,renter,2-person,204,0.329
3_towns,Brooklyn,2010,renter,3-person,90,0.145
3_towns,Brooklyn,2010,renter,4-person or more,79,0.127
3_towns,Brooklyn,2018,renter,total,794,NA
3_towns,Brooklyn,2018,renter,1-person,427,0.538
3_towns,Brooklyn,2018,renter,2-person,70,0.088
3_towns,Brooklyn,2018,renter,3-person,155,0.195
3_towns,Brooklyn,2018,renter,4-person or more,142,0.179
3_towns,Burlington,2000,renter,total,145,NA
3_towns,Burlington,2000,renter,1-person,39,0.269
3_towns,Burlington,2000,renter,2-person,50,0.345
3_towns,Burlington,2000,renter,3-person,26,0.179
3_towns,Burlington,2000,renter,4-person or more,30,0.207
3_towns,Burlington,2010,renter,total,169,NA
3_towns,Burlington,2010,renter,1-person,58,0.343
3_towns,Burlington,2010,renter,2-person,62,0.367
3_towns,Burlington,2010,renter,3-person,38,0.225
3_towns,Burlington,2010,renter,4-person or more,11,0.065
3_towns,Burlington,2018,renter,total,196,NA
3_towns,Burlington,2018,renter,1-person,44,0.224
3_towns,Burlington,2018,renter,2-person,56,0.286
3_towns,Burlington,2018,renter,3-person,65,0.332
3_towns,Burlington,2018,renter,4-person or more,31,0.158
3_towns,Canaan,2000,renter,total,87,NA
3_towns,Canaan,2000,renter,1-person,36,0.414
3_towns,Canaan,2000,renter,2-person,27,0.31
3_towns,Canaan,2000,renter,3-person,8,0.092
3_towns,Canaan,2000,renter,4-person or more,16,0.184
3_towns,Canaan,2010,renter,total,196,NA
3_towns,Canaan,2010,renter,1-person,131,0.668
3_towns,Canaan,2010,renter,2-person,45,0.23
3_towns,Canaan,2010,renter,3-person,8,0.041
3_towns,Canaan,2010,renter,4-person or more,12,0.061
3_towns,Canaan,2018,renter,total,61,NA
3_towns,Canaan,2018,renter,1-person,21,0.344
3_towns,Canaan,2018,renter,2-person,21,0.344
3_towns,Canaan,2018,renter,3-person,5,0.082
3_towns,Canaan,2018,renter,4-person or more,14,0.23
3_towns,Canterbury,2000,renter,total,240,NA
3_towns,Canterbury,2000,renter,1-person,95,0.396
3_towns,Canterbury,2000,renter,2-person,72,0.3
3_towns,Canterbury,2000,renter,3-person,41,0.171
3_towns,Canterbury,2000,renter,4-person or more,32,0.133
3_towns,Canterbury,2010,renter,total,247,NA
3_towns,Canterbury,2010,renter,1-person,145,0.587
3_towns,Canterbury,2010,renter,2-person,88,0.356
3_towns,Canterbury,2010,renter,3-person,0,0
3_towns,Canterbury,2010,renter,4-person or more,14,0.057
3_towns,Canterbury,2018,renter,total,216,NA
3_towns,Canterbury,2018,renter,1-person,73,0.338
3_towns,Canterbury,2018,renter,2-person,83,0.384
3_towns,Canterbury,2018,renter,3-person,18,0.083
3_towns,Canterbury,2018,renter,4-person or more,42,0.194
3_towns,Canton,2000,renter,total,681,NA
3_towns,Canton,2000,renter,1-person,327,0.48
3_towns,Canton,2000,renter,2-person,204,0.3
3_towns,Canton,2000,renter,3-person,79,0.116
3_towns,Canton,2000,renter,4-person or more,71,0.104
3_towns,Canton,2010,renter,total,733,NA
3_towns,Canton,2010,renter,1-person,402,0.548
3_towns,Canton,2010,renter,2-person,212,0.289
3_towns,Canton,2010,renter,3-person,73,0.1
3_towns,Canton,2010,renter,4-person or more,46,0.063
3_towns,Canton,2018,renter,total,847,NA
3_towns,Canton,2018,renter,1-person,435,0.514
3_towns,Canton,2018,renter,2-person,193,0.228
3_towns,Canton,2018,renter,3-person,122,0.144
3_towns,Canton,2018,renter,4-person or more,97,0.115
3_towns,Chaplin,2000,renter,total,181,NA
3_towns,Chaplin,2000,renter,1-person,62,0.343
3_towns,Chaplin,2000,renter,2-person,52,0.287
3_towns,Chaplin,2000,renter,3-person,32,0.177
3_towns,Chaplin,2000,renter,4-person or more,35,0.193
3_towns,Chaplin,2010,renter,total,192,NA
3_towns,Chaplin,2010,renter,1-person,45,0.234
3_towns,Chaplin,2010,renter,2-person,103,0.536
3_towns,Chaplin,2010,renter,3-person,11,0.057
3_towns,Chaplin,2010,renter,4-person or more,33,0.172
3_towns,Chaplin,2018,renter,total,91,NA
3_towns,Chaplin,2018,renter,1-person,28,0.308
3_towns,Chaplin,2018,renter,2-person,41,0.451
3_towns,Chaplin,2018,renter,3-person,5,0.055
3_towns,Chaplin,2018,renter,4-person or more,17,0.187
3_towns,Cheshire,2000,renter,total,1252,NA
3_towns,Cheshire,2000,renter,1-person,622,0.497
3_towns,Cheshire,2000,renter,2-person,343,0.274
3_towns,Cheshire,2000,renter,3-person,159,0.127
3_towns,Cheshire,2000,renter,4-person or more,128,0.102
3_towns,Cheshire,2010,renter,total,1363,NA
3_towns,Cheshire,2010,renter,1-person,603,0.442
3_towns,Cheshire,2010,renter,2-person,407,0.299
3_towns,Cheshire,2010,renter,3-person,171,0.125
3_towns,Cheshire,2010,renter,4-person or more,182,0.134
3_towns,Cheshire,2018,renter,total,1359,NA
3_towns,Cheshire,2018,renter,1-person,615,0.453
3_towns,Cheshire,2018,renter,2-person,496,0.365
3_towns,Cheshire,2018,renter,3-person,94,0.069
3_towns,Cheshire,2018,renter,4-person or more,154,0.113
3_towns,Chester,2000,renter,total,388,NA
3_towns,Chester,2000,renter,1-person,197,0.508
3_towns,Chester,2000,renter,2-person,115,0.296
3_towns,Chester,2000,renter,3-person,40,0.103
3_towns,Chester,2000,renter,4-person or more,36,0.093
3_towns,Chester,2010,renter,total,466,NA
