name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
New Haven County,2018,Renter,More than 120 mins,917,Renter,Renter,0.007
New London County,2000,Owner,Total,85995,NA,NA,NA
New London County,2000,Owner,Up to 15 mins,26998,Owner,Owner,0.314
New London County,2000,Owner,16 to 30 mins,34680,Owner,Owner,0.403
New London County,2000,Owner,31 to 60 mins,18947,Owner,Owner,0.22
New London County,2000,Owner,61 to 120 mins,4471,Owner,Owner,0.052
New London County,2000,Owner,More than 120 mins,899,Owner,Owner,0.01
New London County,2000,Renter,Total,35726,NA,NA,NA
New London County,2000,Renter,Up to 15 mins,13955,Renter,Renter,0.391
New London County,2000,Renter,16 to 30 mins,13583,Renter,Renter,0.38
New London County,2000,Renter,31 to 60 mins,6397,Renter,Renter,0.179
New London County,2000,Renter,61 to 120 mins,1362,Renter,Renter,0.038
New London County,2000,Renter,More than 120 mins,429,Renter,Renter,0.012
New London County,2010,Owner,Total,95185,NA,NA,NA
New London County,2010,Owner,Up to 15 mins,28058,Owner,Owner,0.295
New London County,2010,Owner,16 to 30 mins,39325,Owner,Owner,0.413
New London County,2010,Owner,31 to 60 mins,21673,Owner,Owner,0.228
New London County,2010,Owner,61 to 120 mins,5535,Owner,Owner,0.058
New London County,2010,Owner,More than 120 mins,594,Owner,Owner,0.006
New London County,2010,Renter,Total,33642,NA,NA,NA
New London County,2010,Renter,Up to 15 mins,12600,Renter,Renter,0.375
New London County,2010,Renter,16 to 30 mins,13229,Renter,Renter,0.393
New London County,2010,Renter,31 to 60 mins,5979,Renter,Renter,0.178
New London County,2010,Renter,61 to 120 mins,1635,Renter,Renter,0.049
New London County,2010,Renter,More than 120 mins,199,Renter,Renter,0.006
New London County,2018,Owner,Total,88668,NA,NA,NA
New London County,2018,Owner,Up to 15 mins,23971,Owner,Owner,0.27
New London County,2018,Owner,16 to 30 mins,37588,Owner,Owner,0.424
New London County,2018,Owner,31 to 60 mins,20507,Owner,Owner,0.231
New London County,2018,Owner,61 to 120 mins,5743,Owner,Owner,0.065
New London County,2018,Owner,More than 120 mins,859,Owner,Owner,0.01
New London County,2018,Renter,Total,38421,NA,NA,NA
New London County,2018,Renter,Up to 15 mins,13141,Renter,Renter,0.342
New London County,2018,Renter,16 to 30 mins,16302,Renter,Renter,0.424
New London County,2018,Renter,31 to 60 mins,7227,Renter,Renter,0.188
New London County,2018,Renter,61 to 120 mins,1606,Renter,Renter,0.042
New London County,2018,Renter,More than 120 mins,145,Renter,Renter,0.004
Tolland County,2000,Owner,Total,52588,NA,NA,NA
Tolland County,2000,Owner,Up to 15 mins,11407,Owner,Owner,0.217
Tolland County,2000,Owner,16 to 30 mins,18575,Owner,Owner,0.353
Tolland County,2000,Owner,31 to 60 mins,19415,Owner,Owner,0.369
Tolland County,2000,Owner,61 to 120 mins,2542,Owner,Owner,0.048
Tolland County,2000,Owner,More than 120 mins,649,Owner,Owner,0.012
Tolland County,2000,Renter,Total,14501,NA,NA,NA
Tolland County,2000,Renter,Up to 15 mins,4335,Renter,Renter,0.299
Tolland County,2000,Renter,16 to 30 mins,5398,Renter,Renter,0.372
Tolland County,2000,Renter,31 to 60 mins,4081,Renter,Renter,0.281
Tolland County,2000,Renter,61 to 120 mins,484,Renter,Renter,0.033
Tolland County,2000,Renter,More than 120 mins,203,Renter,Renter,0.014
Tolland County,2010,Owner,Total,57442,NA,NA,NA
Tolland County,2010,Owner,Up to 15 mins,12290,Owner,Owner,0.214
Tolland County,2010,Owner,16 to 30 mins,21662,Owner,Owner,0.377
Tolland County,2010,Owner,31 to 60 mins,20534,Owner,Owner,0.357
Tolland County,2010,Owner,61 to 120 mins,2520,Owner,Owner,0.044
