level,name,year,tenure,hhlds,value,share
3_towns,Bristol,2000,owner,1-person,2978,0.193
3_towns,Bristol,2000,owner,2-person,5773,0.375
3_towns,Bristol,2000,owner,3-person,2788,0.181
3_towns,Bristol,2000,owner,4-person or more,3871,0.251
3_towns,Bristol,2010,owner,total,16572,NA
3_towns,Bristol,2010,owner,1-person,3983,0.24
3_towns,Bristol,2010,owner,2-person,5811,0.351
3_towns,Bristol,2010,owner,3-person,2947,0.178
3_towns,Bristol,2010,owner,4-person or more,3831,0.231
3_towns,Bristol,2018,owner,total,15625,NA
3_towns,Bristol,2018,owner,1-person,3863,0.247
3_towns,Bristol,2018,owner,2-person,5465,0.35
3_towns,Bristol,2018,owner,3-person,2586,0.166
3_towns,Bristol,2018,owner,4-person or more,3711,0.238
3_towns,Brookfield,2000,owner,total,4960,NA
3_towns,Brookfield,2000,owner,1-person,738,0.149
3_towns,Brookfield,2000,owner,2-person,1625,0.328
3_towns,Brookfield,2000,owner,3-person,964,0.194
3_towns,Brookfield,2000,owner,4-person or more,1633,0.329
3_towns,Brookfield,2010,owner,total,5191,NA
3_towns,Brookfield,2010,owner,1-person,775,0.149
3_towns,Brookfield,2010,owner,2-person,1923,0.37
3_towns,Brookfield,2010,owner,3-person,909,0.175
3_towns,Brookfield,2010,owner,4-person or more,1584,0.305
3_towns,Brookfield,2018,owner,total,5125,NA
3_towns,Brookfield,2018,owner,1-person,806,0.157
3_towns,Brookfield,2018,owner,2-person,2002,0.391
3_towns,Brookfield,2018,owner,3-person,831,0.162
3_towns,Brookfield,2018,owner,4-person or more,1486,0.29
3_towns,Brooklyn,2000,owner,total,1865,NA
3_towns,Brooklyn,2000,owner,1-person,272,0.146
3_towns,Brooklyn,2000,owner,2-person,707,0.379
3_towns,Brooklyn,2000,owner,3-person,340,0.182
3_towns,Brooklyn,2000,owner,4-person or more,546,0.293
3_towns,Brooklyn,2010,owner,total,2033,NA
3_towns,Brooklyn,2010,owner,1-person,195,0.096
3_towns,Brooklyn,2010,owner,2-person,860,0.423
3_towns,Brooklyn,2010,owner,3-person,448,0.22
3_towns,Brooklyn,2010,owner,4-person or more,530,0.261
3_towns,Brooklyn,2018,owner,total,2332,NA
3_towns,Brooklyn,2018,owner,1-person,359,0.154
3_towns,Brooklyn,2018,owner,2-person,1138,0.488
3_towns,Brooklyn,2018,owner,3-person,405,0.174
3_towns,Brooklyn,2018,owner,4-person or more,430,0.184
3_towns,Burlington,2000,owner,total,2695,NA
3_towns,Burlington,2000,owner,1-person,280,0.104
3_towns,Burlington,2000,owner,2-person,977,0.363
3_towns,Burlington,2000,owner,3-person,523,0.194
3_towns,Burlington,2000,owner,4-person or more,915,0.34
3_towns,Burlington,2010,owner,total,3014,NA
3_towns,Burlington,2010,owner,1-person,369,0.122
3_towns,Burlington,2010,owner,2-person,961,0.319
3_towns,Burlington,2010,owner,3-person,608,0.202
3_towns,Burlington,2010,owner,4-person or more,1076,0.357
3_towns,Burlington,2018,owner,total,3171,NA
3_towns,Burlington,2018,owner,1-person,443,0.14
3_towns,Burlington,2018,owner,2-person,1258,0.397
3_towns,Burlington,2018,owner,3-person,539,0.17
3_towns,Burlington,2018,owner,4-person or more,931,0.294
3_towns,Canaan,2000,owner,total,358,NA
3_towns,Canaan,2000,owner,1-person,87,0.243
3_towns,Canaan,2000,owner,2-person,126,0.352
3_towns,Canaan,2000,owner,3-person,55,0.154
3_towns,Canaan,2000,owner,4-person or more,90,0.251
3_towns,Canaan,2010,owner,total,383,NA
3_towns,Canaan,2010,owner,1-person,90,0.235
3_towns,Canaan,2010,owner,2-person,191,0.499
3_towns,Canaan,2010,owner,3-person,51,0.133
3_towns,Canaan,2010,owner,4-person or more,51,0.133
3_towns,Canaan,2018,owner,total,470,NA
