year,level,geoid,name,county,age,measure,estimate
2009,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,4129
2009,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,1995
2009,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-9437
2009,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-8406
2009,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,558
2009,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,6136
2009,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,6704
2009,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,7590
2009,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,7077
2009,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,1550
2009,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-2149
2009,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-589
2009,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,1982
2010,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,12290
2010,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-1095
2010,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-329
2010,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-1404
2010,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,-2854
2010,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,3374
2010,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,3755
2010,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,1307
2010,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-7985
2010,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-4098
2010,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-1755
2010,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,4612
2010,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,5773
2010,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,6895
2010,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,4569
2010,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,1168
2010,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-729
2010,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-517
2010,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,1603
