level,geoid,name,year,county,var,estimate,moe,share,sharemoe
2_counties,09003,Hartford County,2007,NA,asian,33721,NA,0.038,NA
2_counties,09003,Hartford County,2007,NA,other_race,13347,NA,0.015,NA
2_counties,09003,Hartford County,2008,NA,total_pop,887891,NA,NA,NA
2_counties,09003,Hartford County,2008,NA,white,600819,NA,0.677,NA
2_counties,09003,Hartford County,2008,NA,black,109258,NA,0.123,NA
2_counties,09003,Hartford County,2008,NA,latino,128549,NA,0.145,NA
2_counties,09003,Hartford County,2008,NA,asian,35371,NA,0.04,NA
2_counties,09003,Hartford County,2008,NA,other_race,13894,NA,0.016,NA
2_counties,09003,Hartford County,2009,NA,total_pop,891667,NA,NA,NA
2_counties,09003,Hartford County,2009,NA,white,596589,NA,0.669,NA
2_counties,09003,Hartford County,2009,NA,black,110356,NA,0.124,NA
2_counties,09003,Hartford County,2009,NA,latino,133243,NA,0.149,NA
2_counties,09003,Hartford County,2009,NA,asian,37089,NA,0.042,NA
2_counties,09003,Hartford County,2009,NA,other_race,14390,NA,0.016,NA
2_counties,09003,Hartford County,2010,NA,total_pop,894014,0,NA,NA
2_counties,09003,Hartford County,2010,NA,latino,136783,0,0.153,NA
2_counties,09003,Hartford County,2010,NA,white,591283,0,0.661,NA
2_counties,09003,Hartford County,2010,NA,black,110005,0,0.123,NA
2_counties,09003,Hartford County,2010,NA,asian,37581,0,0.042,NA
2_counties,09003,Hartford County,2010,NA,other_race,18362,0,0.021,NA
2_counties,09003,Hartford County,2011,NA,total_pop,890588,NA,NA,NA
2_counties,09003,Hartford County,2011,NA,latino,132983,NA,0.149,NA
2_counties,09003,Hartford County,2011,NA,white,594243,553,0.667,NA
2_counties,09003,Hartford County,2011,NA,black,108331,877,0.122,NA
2_counties,09003,Hartford County,2011,NA,asian,36991,386,0.042,NA
2_counties,09003,Hartford County,2011,NA,other_race,18040,1203,0.02,NA
2_counties,09003,Hartford County,2012,NA,total_pop,893504,NA,NA,NA
2_counties,09003,Hartford County,2012,NA,latino,137155,NA,0.154,NA
2_counties,09003,Hartford County,2012,NA,white,589792,639,0.66,NA
2_counties,09003,Hartford County,2012,NA,black,109539,1115,0.123,NA
2_counties,09003,Hartford County,2012,NA,asian,38210,577,0.043,NA
2_counties,09003,Hartford County,2012,NA,other_race,18808,1481,0.021,NA
2_counties,09003,Hartford County,2013,NA,total_pop,895827,NA,NA,NA
2_counties,09003,Hartford County,2013,NA,latino,141471,NA,0.158,NA
2_counties,09003,Hartford County,2013,NA,white,584584,721,0.653,NA
2_counties,09003,Hartford County,2013,NA,black,110594,959,0.123,NA
2_counties,09003,Hartford County,2013,NA,asian,39571,508,0.044,NA
2_counties,09003,Hartford County,2013,NA,other_race,19607,1355,0.022,NA
2_counties,09003,Hartford County,2014,NA,total_pop,897374,NA,NA,NA
2_counties,09003,Hartford County,2014,NA,latino,145270,NA,0.162,NA
2_counties,09003,Hartford County,2014,NA,white,579222,535,0.645,NA
2_counties,09003,Hartford County,2014,NA,black,111463,933,0.124,NA
