"hhwt","name","minc","inc_band","hcost","cost_band"
13,"Hartford County",75148,"High",4059,"High"
32,"Middlesex County",85898,"Mid-low",3166,"High"
29,"Fairfield County",95645,"Mid-high",1602,"Mid-low"
30,"New London County",73490,"Low",1551,"Mid-high"
33,"Litchfield County",79906,"Low",650,"Low"
26,"Hartford County",75148,"Mid-high",2623,"High"
58,"Hartford County",75148,"High",1592,"Mid-high"
10,"New Haven County",69905,"Very low",1047,"Mid-low"
37,"Hartford County",75148,"Mid-low",1407,"Mid-low"
5,"New Haven County",69905,"High",794,"Low"
11,"New Haven County",69905,"High",3352,"High"
10,"Hartford County",75148,"Mid-low",1244,"Mid-low"
24,"Hartford County",75148,"Very low",1841,"Mid-high"
25,"New Haven County",69905,"High",5208,"High"
19,"Tolland County",87069,"High",711,"Low"
27,"Hartford County",75148,"High",2938,"High"
64,"Hartford County",75148,"Mid-high",1919,"Mid-high"
13,"Fairfield County",95645,"High",8675,"High"
13,"Litchfield County",79906,"High",529,"Very low"
8,"New Haven County",69905,"High",1697,"Mid-high"
17,"Tolland County",87069,"Very low",2218,"Mid-high"
19,"New Haven County",69905,"High",2273,"High"
13,"Fairfield County",95645,"Very low",1151,"Low"
12,"Hartford County",75148,"High",727,"Low"
22,"Fairfield County",95645,"Mid-low",910,"Low"
14,"Middlesex County",85898,"Very low",1213,"Mid-low"
13,"Fairfield County",95645,"High",2040,"Mid-high"
15,"Fairfield County",95645,"Very low",7782,"High"
17,"New Haven County",69905,"Low",1422,"Mid-high"
23,"Litchfield County",79906,"Mid-high",848,"Low"
15,"Fairfield County",95645,"High",4106,"High"
8,"Hartford County",75148,"High",1265,"Mid-low"
15,"Hartford County",75148,"Mid-low",979,"Mid-low"
25,"New Haven County",69905,"Very low",1217,"Mid-low"
19,"Hartford County",75148,"Mid-low",1225,"Mid-low"
25,"New Haven County",69905,"High",2140,"High"
40,"Hartford County",75148,"High",2183,"Mid-high"
14,"Fairfield County",95645,"High",5653,"High"
12,"Fairfield County",95645,"Mid-high",1976,"Mid-high"
76,"Middlesex County",85898,"High",2016,"Mid-high"
13,"Hartford County",75148,"High",1936,"Mid-high"
13,"Fairfield County",95645,"Mid-low",825,"Low"
18,"New London County",73490,"Mid-high",1657,"Mid-high"
13,"New Haven County",69905,"High",1252,"Mid-low"
17,"Hartford County",75148,"High",1414,"Mid-low"
19,"Fairfield County",95645,"Mid-low",572,"Very low"
11,"Fairfield County",95645,"High",2846,"Mid-high"
19,"Hartford County",75148,"High",1882,"Mid-high"
30,"Fairfield County",95645,"High",2574,"Mid-high"
12,"Hartford County",75148,"Very low",437,"Very low"
47,"New London County",73490,"Mid-high",705,"Low"
14,"Middlesex County",85898,"High",802,"Low"
27,"Middlesex County",85898,"Very low",770,"Low"
56,"New London County",73490,"High",2079,"Mid-high"
10,"Hartford County",75148,"High",2056,"Mid-high"
12,"New London County",73490,"High",2867,"High"
26,"New Haven County",69905,"High",1936,"Mid-high"
16,"Hartford County",75148,"High",2391,"High"
13,"Hartford County",75148,"Low",388,"Very low"
75,"Fairfield County",95645,"Low",1250,"Mid-low"
13,"Hartford County",75148,"Mid-high",2512,"High"
9,"Fairfield County",95645,"High",3875,"High"
13,"Fairfield County",95645,"High",2213,"Mid-high"
13,"New Haven County",69905,"High",3868,"High"
7,"New Haven County",69905,"High",1584,"Mid-high"
8,"Fairfield County",95645,"High",4766,"High"
26,"New Haven County",69905,"High",2626,"High"
9,"New London County",73490,"Mid-low",568,"Low"
12,"Hartford County",75148,"Mid-high",2121,"Mid-high"
11,"Windham County",66550,"Mid-low",1964,"Mid-high"
25,"Litchfield County",79906,"Low",992,"Low"
17,"Fairfield County",95645,"High",4004,"High"
12,"Hartford County",75148,"Very low",530,"Very low"
13,"Hartford County",75148,"High",2255,"High"
69,"New Haven County",69905,"Mid-high",1962,"Mid-high"
21,"New London County",73490,"Mid-high",389,"Very low"
24,"New London County",73490,"High",1269,"Mid-low"
6,"Fairfield County",95645,"High",4650,"High"
14,"Fairfield County",95645,"High",1036,"Low"
19,"New Haven County",69905,"Mid-low",1037,"Mid-low"
25,"Fairfield County",95645,"Mid-high",2396,"Mid-high"
13,"New London County",73490,"High",2828,"High"
3,"New London County",73490,"High",990,"Mid-low"
12,"Hartford County",75148,"High",2910,"High"
13,"Middlesex County",85898,"Mid-low",1239,"Mid-low"
25,"Fairfield County",95645,"High",7842,"High"
11,"Windham County",66550,"High",2276,"High"
12,"Middlesex County",85898,"High",1390,"Mid-low"
13,"Fairfield County",95645,"High",8780,"High"
27,"New London County",73490,"High",2168,"Mid-high"
19,"Windham County",66550,"Mid-low",593,"Low"
39,"Hartford County",75148,"High",1851,"Mid-high"
20,"Middlesex County",85898,"Mid-high",707,"Low"
21,"Tolland County",87069,"Mid-low",1184,"Mid-low"
12,"Middlesex County",85898,"Mid-high",1475,"Mid-low"
14,"Middlesex County",85898,"High",1624,"Mid-low"
